"","NA06993"
"SNP_A-1684343",1.92
"SNP_A-1684527",1.81
"SNP_A-1727182",1.78
"SNP_A-1709821",2
"SNP_A-1736158",2.3
"SNP_A-1736258",2.31
"SNP_A-1678544",1.89
"SNP_A-1666985",2.56
"SNP_A-1668447",2.19
"SNP_A-1668565",1.9
"SNP_A-1703997",1.46
"SNP_A-1652193",1.58
"SNP_A-1657382",1.8
"SNP_A-1683825",1.89
"SNP_A-1691698",1.68
"SNP_A-1662288",1.81
"SNP_A-1687843",1.71
"SNP_A-1688069",1.97
"SNP_A-1687400",2.08
"SNP_A-1679806",1.79
"SNP_A-1671386",1.79
"SNP_A-1659592",1.79
"SNP_A-1671445",2
"SNP_A-1754848",1.71
"SNP_A-1711211",1.95
"SNP_A-1711739",1.91
"SNP_A-1681341",1.95
"SNP_A-1682693",1.88
"SNP_A-1750171",1.72
"SNP_A-1661146",1.57
"SNP_A-1718632",1.75
"SNP_A-1726085",1.79
"SNP_A-1750891",2.42
"SNP_A-1718979",1.64
"SNP_A-1655288",1.83
"SNP_A-1655392",1.62
"SNP_A-1658633",1.99
"SNP_A-1654229",1.41
"SNP_A-1666506",2.11
"SNP_A-1686500",1.43
"SNP_A-1650899",1.91
"SNP_A-1717751",1.91
"SNP_A-1666737",1.5
"SNP_A-1697953",2.16
"SNP_A-1664654",2.02
"SNP_A-1721212",1.36
"SNP_A-1756835",2.08
"SNP_A-1664341",1.56
"SNP_A-1702747",2.03
"SNP_A-1747089",2.09
"SNP_A-1733392",1.26
"SNP_A-1647019",1.66
"SNP_A-1652145",1.61
"SNP_A-1646710",2.28
"SNP_A-1721350",1.79
"SNP_A-1647681",2.38
"SNP_A-1729910",2.2
"SNP_A-1703614",1.74
"SNP_A-1754728",2.2
"SNP_A-1706913",1.26
"SNP_A-1706423",2.05
"SNP_A-1735683",2.74
"SNP_A-1752220",1.19
"SNP_A-1677240",1.66
"SNP_A-1684637",1.87
"SNP_A-1647361",1.97
"SNP_A-1698013",1.31
"SNP_A-1722724",1.76
"SNP_A-1694136",1.57
"SNP_A-1746172",1.76
"SNP_A-1700181",2.46
"SNP_A-1696347",2.57
"SNP_A-1642343",3.01
"SNP_A-1689757",2.28
"SNP_A-1644542",2.96
"SNP_A-1758051",1.45
"SNP_A-1651556",1.66
"SNP_A-1686531",2.1
"SNP_A-1686673",2.25
"SNP_A-1686771",2.44
"SNP_A-1695498",2.16
"SNP_A-1698882",3.08
"SNP_A-1699166",1.94
"SNP_A-1699358",2.12
"SNP_A-1707834",2.71
"SNP_A-1712855",2.71
"SNP_A-1678500",1.74
"SNP_A-1692682",2.19
"SNP_A-1753226",2.95
"SNP_A-1680999",1.63
"SNP_A-1682893",2.66
"SNP_A-1708464",2.23
"SNP_A-1686341",2.7
"SNP_A-1686461",1.55
"SNP_A-1686665",1.77
"SNP_A-1743411",2.45
"SNP_A-1652320",2.95
"SNP_A-1738790",1.78
"SNP_A-1747112",1.87
"SNP_A-1673425",1.35
"SNP_A-1673737",1.47
"SNP_A-1682003",1.49
"SNP_A-1682449",1.25
"SNP_A-1683883",1.82
"SNP_A-1736374",1.98
"SNP_A-1723776",1.75
"SNP_A-1657129",1.71
"SNP_A-1739878",2.46
"SNP_A-1723002",1.61
"SNP_A-1715477",1.21
"SNP_A-1716643",0.87
"SNP_A-1641890",2.2
"SNP_A-1652992",1.42
"SNP_A-1719635",2.04
"SNP_A-1754983",2.01
"SNP_A-1755087",1.43
"SNP_A-1755281",1.49
"SNP_A-1756744",1.76
"SNP_A-1693483",1.74
"SNP_A-1707563",1.37
"SNP_A-1719311",2.48
"SNP_A-1687849",1.87
"SNP_A-1693165",1.67
"SNP_A-1663158",1.85
"SNP_A-1701293",2.42
"SNP_A-1682928",1.58
"SNP_A-1683962",1.62
"SNP_A-1683515",1.28
"SNP_A-1685713",1.71
"SNP_A-1726304",1.76
"SNP_A-1651410",3.43
"SNP_A-1744558",2.25
"SNP_A-1705081",1.33
"SNP_A-1674190",1.66
"SNP_A-1675825",1.74
"SNP_A-1758124",2.44
"SNP_A-1717655",1.8
"SNP_A-1686366",2.07
"SNP_A-1678816",2.25
"SNP_A-1691431",1.48
"SNP_A-1654121",1.72
"SNP_A-1729516",2.22
"SNP_A-1665880",1.74
"SNP_A-1734347",1.85
"SNP_A-1741018",2.55
"SNP_A-1711991",1.48
"SNP_A-1723341",1.7
"SNP_A-1687110",1.54
"SNP_A-1726821",1.83
"SNP_A-1697551",1.55
"SNP_A-1726011",1.62
"SNP_A-1670958",2.01
"SNP_A-1673750",2.56
"SNP_A-1753416",1.47
"SNP_A-1691439",2.08
"SNP_A-1671621",2.39
"SNP_A-1716436",1.84
"SNP_A-1741853",1.96
"SNP_A-1732607",1.82
"SNP_A-1712561",1.94
"SNP_A-1712390",1.47
"SNP_A-1712514",1.71
"SNP_A-1713817",1.68
"SNP_A-1669999",1.32
"SNP_A-1674383",1.61
"SNP_A-1642148",1.9
"SNP_A-1706920",1.69
"SNP_A-1708471",2.17
"SNP_A-1748794",1.41
"SNP_A-1664559",1.78
"SNP_A-1654882",1.87
"SNP_A-1655176",1.62
"SNP_A-1655302",2.09
"SNP_A-1656716",1.74
"SNP_A-1656886",2.3
"SNP_A-1647119",1.49
"SNP_A-1656056",1.39
"SNP_A-1673838",1.41
"SNP_A-1649999",1.82
"SNP_A-1752247",2.22
"SNP_A-1747116",1.85
"SNP_A-1749256",1.66
"SNP_A-1744175",2.06
"SNP_A-1673926",1.89
"SNP_A-1709273",1.67
"SNP_A-1655289",2.79
"SNP_A-1723021",2.14
"SNP_A-1728312",1.89
"SNP_A-1666311",1.57
"SNP_A-1646335",1.84
"SNP_A-1646443",2.3
"SNP_A-1703512",1.87
"SNP_A-1728267",2.39
"SNP_A-1708884",2.5
"SNP_A-1659730",2.09
"SNP_A-1757692",2.74
"SNP_A-1650897",2.23
"SNP_A-1678616",2.27
"SNP_A-1755243",1.78
"SNP_A-1755355",1.76
"SNP_A-1756906",2.01
"SNP_A-1757042",2.53
"SNP_A-1662223",1.84
"SNP_A-1744415",0.93
"SNP_A-1669188",2.12
"SNP_A-1720324",2.29
"SNP_A-1720434",2.25
"SNP_A-1720566",1.67
"SNP_A-1705893",1.77
"SNP_A-1734936",1.94
"SNP_A-1739395",2.3
"SNP_A-1649731",1.58
"SNP_A-1721784",2.56
"SNP_A-1715866",1.79
"SNP_A-1755718",2.63
"SNP_A-1695799",1.44
"SNP_A-1656203",1.78
"SNP_A-1691286",2.05
"SNP_A-1661003",1.93
"SNP_A-1698164",1.8
"SNP_A-1703621",1.54
"SNP_A-1682690",1.83
"SNP_A-1671610",2.07
"SNP_A-1745536",2.11
"SNP_A-1657367",1.46
"SNP_A-1691360",1.63
"SNP_A-1741675",2.76
"SNP_A-1716543",2.42
"SNP_A-1704683",2.05
"SNP_A-1690412",1.9
"SNP_A-1737095",1.63
"SNP_A-1745470",2.61
"SNP_A-1654181",2.39
"SNP_A-1653089",2.18
"SNP_A-1653205",1.69
"SNP_A-1653317",1.43
"SNP_A-1654636",1.56
"SNP_A-1654736",1.46
"SNP_A-1660258",1.38
"SNP_A-1757983",2.38
"SNP_A-1708763",2.36
"SNP_A-1701699",1.65
"SNP_A-1715345",1.86
"SNP_A-1699617",2.28
"SNP_A-1691255",1.6
"SNP_A-1691463",1.68
"SNP_A-1691633",1.78
"SNP_A-1745139",1.87
"SNP_A-1745527",1.3
"SNP_A-1747462",2.22
"SNP_A-1749134",1.93
"SNP_A-1746524",2.02
"SNP_A-1675150",3.01
"SNP_A-1683865",1.79
"SNP_A-1709216",1.94
"SNP_A-1756137",1.56
"SNP_A-1645685",2.09
"SNP_A-1646003",2.04
"SNP_A-1689197",1.6
"SNP_A-1675169",2.57
"SNP_A-1679865",1.64
"SNP_A-1731929",2.04
"SNP_A-1695338",2.22
"SNP_A-1677277",1.75
"SNP_A-1739694",2.01
"SNP_A-1757353",1.72
"SNP_A-1652088",1.99
"SNP_A-1644808",1.1
"SNP_A-1693280",3.04
"SNP_A-1692041",1.51
"SNP_A-1649154",1.67
"SNP_A-1749601",1.85
"SNP_A-1736363",1.29
"SNP_A-1661704",1.67
"SNP_A-1756658",1.89
"SNP_A-1756784",1.95
"SNP_A-1647930",2.04
"SNP_A-1669413",2.36
"SNP_A-1691043",2.43
"SNP_A-1694852",2.1
"SNP_A-1667994",2.64
"SNP_A-1729326",1.79
"SNP_A-1690240",2.2
"SNP_A-1673508",1.15
"SNP_A-1658476",1.51
"SNP_A-1710107",1.91
"SNP_A-1708186",2.15
"SNP_A-1714852",2.15
"SNP_A-1652606",1.68
"SNP_A-1718430",1.68
"SNP_A-1727364",2.09
"SNP_A-1748144",3.17
"SNP_A-1748266",1.87
"SNP_A-1751834",1.72
"SNP_A-1704403",3.93
"SNP_A-1642668",1.76
"SNP_A-1678086",2.51
"SNP_A-1689647",2.63
"SNP_A-1709807",1.52
"SNP_A-1697051",1.97
"SNP_A-1740568",2.26
"SNP_A-1678809",1.81
"SNP_A-1657323",1.49
"SNP_A-1665257",2.51
"SNP_A-1730189",2
"SNP_A-1730307",2
"SNP_A-1730396",2.01
"SNP_A-1731932",2
"SNP_A-1658232",2
"SNP_A-1752335",2
"SNP_A-1740465",2
"SNP_A-1758455",1.61
"SNP_A-1664895",1.66
"SNP_A-1718217",1.73
"SNP_A-1705683",2.81
"SNP_A-1657166",2.58
"SNP_A-1658825",1.56
"SNP_A-1680027",1.73
"SNP_A-1680149",2.15
"SNP_A-1672028",1.23
"SNP_A-1642591",1.36
"SNP_A-1688767",2.23
"SNP_A-1690330",1.86
"SNP_A-1715311",2.09
"SNP_A-1726670",0.81
"SNP_A-1670368",2.26
"SNP_A-1677467",2.3
"SNP_A-1677633",2.11
"SNP_A-1677801",1.62
"SNP_A-1679321",1.57
"SNP_A-1647080",2.22
"SNP_A-1747597",2.02
"SNP_A-1652634",1.23
"SNP_A-1722639",2.2
"SNP_A-1642665",2.06
"SNP_A-1676666",1.93
"SNP_A-1682568",1.17
"SNP_A-1733023",1.7
"SNP_A-1660228",2.12
"SNP_A-1687098",2.62
"SNP_A-1699127",1.79
"SNP_A-1667013",2
"SNP_A-1643473",2
"SNP_A-1706468",2
"SNP_A-1736956",1.71
"SNP_A-1643922",1.9
"SNP_A-1724207",2.1
"SNP_A-1652712",1.47
"SNP_A-1708370",2.35
"SNP_A-1651331",2.33
"SNP_A-1669337",1.96
"SNP_A-1719936",2.13
"SNP_A-1721362",2
"SNP_A-1721565",1.56
"SNP_A-1643422",2.22
"SNP_A-1701032",2
"SNP_A-1671442",1.83
"SNP_A-1709734",2.26
"SNP_A-1659484",1.39
"SNP_A-1753752",2.51
"SNP_A-1682432",1.53
"SNP_A-1671059",2
"SNP_A-1716085",2.92
"SNP_A-1661677",1.96
"SNP_A-1715865",1.76
"SNP_A-1674303",1.69
"SNP_A-1656705",2.35
"SNP_A-1658483",2.17
"SNP_A-1682466",2.68
"SNP_A-1662093",1.76
"SNP_A-1662225",2
"SNP_A-1686796",2.55
"SNP_A-1645793",2.13
"SNP_A-1706505",1.83
"SNP_A-1708664",2.23
"SNP_A-1748629",1.78
"SNP_A-1698844",1.62
"SNP_A-1746747",1.83
"SNP_A-1720070",3.01
"SNP_A-1722275",2.59
"SNP_A-1698551",1.85
"SNP_A-1725943",2.16
"SNP_A-1658147",1.91
"SNP_A-1667230",2.38
"SNP_A-1666641",1.85
"SNP_A-1687944",2.52
"SNP_A-1707251",2.28
"SNP_A-1662498",2.05
"SNP_A-1723287",1.88
"SNP_A-1655113",2.79
"SNP_A-1734846",2.14
"SNP_A-1718525",1.54
"SNP_A-1681918",1.83
"SNP_A-1698274",1.91
"SNP_A-1717957",2.89
"SNP_A-1683105",1.53
"SNP_A-1740603",1.93
"SNP_A-1689919",1.39
"SNP_A-1671046",2.09
"SNP_A-1653165",2.3
"SNP_A-1653277",2.15
"SNP_A-1707381",2.15
"SNP_A-1738252",2.82
"SNP_A-1711805",1.91
"SNP_A-1751790",1.81
"SNP_A-1723916",1.52
"SNP_A-1652570",2.06
"SNP_A-1758329",2.18
"SNP_A-1684298",1.75
"SNP_A-1740303",1.64
"SNP_A-1684602",1.64
"SNP_A-1653341",1.85
"SNP_A-1653443",2.09
"SNP_A-1653595",1.28
"SNP_A-1659931",2.45
"SNP_A-1659190",1.98
"SNP_A-1712645",1.63
"SNP_A-1676740",1.58
"SNP_A-1709885",1.55
"SNP_A-1749045",2.21
"SNP_A-1701720",1.57
"SNP_A-1701974",2.46
"SNP_A-1697577",1.67
"SNP_A-1752726",2.02
"SNP_A-1655991",1.53
"SNP_A-1750225",1.51
"SNP_A-1646469",1.35
"SNP_A-1682872",1.92
"SNP_A-1707710",1.98
"SNP_A-1656045",2.46
"SNP_A-1677842",1.26
"SNP_A-1751754",2.06
"SNP_A-1742207",2.07
"SNP_A-1697020",2.31
"SNP_A-1741706",2.72
"SNP_A-1752286",2.29
"SNP_A-1683393",2.44
"SNP_A-1689462",1.79
"SNP_A-1721411",1.99
"SNP_A-1757722",2.35
"SNP_A-1641770",2.07
"SNP_A-1643669",2.01
"SNP_A-1688881",1.91
"SNP_A-1730889",2.25
"SNP_A-1744850",1.58
"SNP_A-1725694",2.3
"SNP_A-1757904",2.49
"SNP_A-1752120",1.73
"SNP_A-1662078",2.22
"SNP_A-1653240",1.88
"SNP_A-1686731",1.83
"SNP_A-1719419",1.95
"SNP_A-1695076",1.76
"SNP_A-1695172",1.69
"SNP_A-1737515",1.46
"SNP_A-1666422",1.12
"SNP_A-1697314",1.43
"SNP_A-1745630",1.93
"SNP_A-1667434",1.39
"SNP_A-1650328",1.74
"SNP_A-1654891",1.43
"SNP_A-1678122",2.15
"SNP_A-1671690",2.09
"SNP_A-1704069",1.87
"SNP_A-1673699",2.48
"SNP_A-1680369",2.31
"SNP_A-1680463",2.21
"SNP_A-1659208",1.21
"SNP_A-1643401",1.47
"SNP_A-1660463",2.64
"SNP_A-1726508",0.89
"SNP_A-1731450",3.17
"SNP_A-1731576",1.99
"SNP_A-1735167",1.71
"SNP_A-1706077",2.47
"SNP_A-1664441",1.71
"SNP_A-1665691",1.66
"SNP_A-1672650",1.47
"SNP_A-1676563",1.33
"SNP_A-1734385",1.87
"SNP_A-1734491",1.74
"SNP_A-1731731",1.47
"SNP_A-1680196",2.68
"SNP_A-1664780",2.83
"SNP_A-1673476",2.26
"SNP_A-1688037",2.2
"SNP_A-1691785",1.96
"SNP_A-1696619",1.01
"SNP_A-1668074",3.04
"SNP_A-1661175",1.41
"SNP_A-1744207",2.12
"SNP_A-1725614",2.39
"SNP_A-1745541",1.82
"SNP_A-1745719",1.87
"SNP_A-1747340",3.4
"SNP_A-1697653",2.33
"SNP_A-1649902",1.81
"SNP_A-1677866",2.38
"SNP_A-1692623",2.16
"SNP_A-1692713",1.87
"SNP_A-1736618",2.12
"SNP_A-1669184",1.56
"SNP_A-1679571",2.4
"SNP_A-1705109",1.6
"SNP_A-1722070",2.57
"SNP_A-1655257",1.72
"SNP_A-1684308",1.94
"SNP_A-1645486",2.18
"SNP_A-1661874",2.35
"SNP_A-1737608",1.54
"SNP_A-1739048",1.89
"SNP_A-1664811",1.63
"SNP_A-1668237",1.83
"SNP_A-1668493",2.11
"SNP_A-1668615",2.63
"SNP_A-1648172",2.03
"SNP_A-1691032",2.19
"SNP_A-1724643",1.99
"SNP_A-1756659",1.88
"SNP_A-1666392",2
"SNP_A-1677366",2
"SNP_A-1660594",2
"SNP_A-1755404",2
"SNP_A-1688098",2
"SNP_A-1652800",2
"SNP_A-1668540",2
"SNP_A-1669509",2
"SNP_A-1696820",2
"SNP_A-1746468",1.6
"SNP_A-1740944",2.38
"SNP_A-1749956",1.83
"SNP_A-1752347",2
"SNP_A-1666166",2.6
"SNP_A-1756008",2.94
"SNP_A-1735403",2.64
"SNP_A-1743516",1.59
"SNP_A-1708524",2.07
"SNP_A-1672744",1.87
"SNP_A-1707820",2.13
"SNP_A-1724678",1.44
"SNP_A-1668150",1.66
"SNP_A-1649070",1.13
"SNP_A-1725807",1.74
"SNP_A-1726041",1.8
"SNP_A-1715988",1.92
"SNP_A-1647590",2.4
"SNP_A-1720933",2.82
"SNP_A-1741545",1.93
"SNP_A-1748115",1.84
"SNP_A-1705513",2.22
"SNP_A-1654737",1.73
"SNP_A-1744600",2.61
"SNP_A-1643177",1.46
"SNP_A-1688484",1.29
"SNP_A-1694891",1.78
"SNP_A-1738466",1.67
"SNP_A-1666355",2.01
"SNP_A-1673351",2.03
"SNP_A-1676366",1.74
"SNP_A-1675060",2.45
"SNP_A-1722563",1.81
"SNP_A-1722677",1.49
"SNP_A-1722777",1.36
"SNP_A-1737385",1.6
"SNP_A-1727682",2.07
"SNP_A-1708408",2.47
"SNP_A-1737898",2.7
"SNP_A-1714970",1.34
"SNP_A-1646413",1.76
"SNP_A-1714843",1.24
"SNP_A-1747057",1.27
"SNP_A-1708857",1.73
"SNP_A-1713726",1.17
"SNP_A-1721911",1.51
"SNP_A-1751287",2.6
"SNP_A-1664447",2.54
"SNP_A-1675517",1.74
"SNP_A-1652532",1.6
"SNP_A-1667787",1.89
"SNP_A-1668119",1.63
"SNP_A-1674925",1.84
"SNP_A-1729541",1.98
"SNP_A-1729643",1.65
"SNP_A-1729743",1.87
"SNP_A-1663743",1.7
"SNP_A-1663839",1.52
"SNP_A-1711937",1.42
"SNP_A-1671132",1.29
"SNP_A-1718749",2.88
"SNP_A-1662416",2.04
"SNP_A-1693000",2.16
"SNP_A-1654542",1.96
"SNP_A-1654696",2.02
"SNP_A-1654820",1.88
"SNP_A-1700078",1.61
"SNP_A-1753902",1.83
"SNP_A-1738457",2
"SNP_A-1702410",1.95
"SNP_A-1659278",1.58
"SNP_A-1658183",1.98
"SNP_A-1666859",2
"SNP_A-1649856",1.88
"SNP_A-1714169",2.23
"SNP_A-1750119",1.5
"SNP_A-1659133",1.56
"SNP_A-1663972",2
"SNP_A-1648330",1.78
"SNP_A-1702918",2.1
"SNP_A-1753129",1.17
"SNP_A-1657838",2.18
"SNP_A-1716820",1.74
"SNP_A-1717000",2.08
"SNP_A-1718468",1.53
"SNP_A-1756018",1.39
"SNP_A-1642342",1.28
"SNP_A-1702044",1.68
"SNP_A-1658496",2.14
"SNP_A-1750774",2.08
"SNP_A-1728973",2.75
"SNP_A-1694021",2.36
"SNP_A-1730545",1.9
"SNP_A-1690468",1.56
"SNP_A-1756665",1.93
"SNP_A-1715911",2.05
"SNP_A-1699224",2.42
"SNP_A-1685704",2.48
"SNP_A-1654970",1.57
"SNP_A-1721990",1.28
"SNP_A-1665877",1.87
"SNP_A-1707726",2.17
"SNP_A-1712808",1.86
"SNP_A-1713126",2.18
"SNP_A-1668416",3.24
"SNP_A-1652076",2.7
"SNP_A-1722259",1.59
"SNP_A-1687826",1.91
"SNP_A-1645861",2.61
"SNP_A-1646183",1.85
"SNP_A-1751995",2.32
"SNP_A-1655357",1.49
"SNP_A-1649864",1.27
"SNP_A-1706788",2.62
"SNP_A-1653104",2.95
"SNP_A-1742319",2.81
"SNP_A-1708718",2.08
"SNP_A-1700966",2.06
"SNP_A-1729238",1.85
"SNP_A-1750966",1.69
"SNP_A-1751574",2.19
"SNP_A-1691613",2.12
"SNP_A-1691753",2.48
"SNP_A-1691977",2.1
"SNP_A-1757533",1.64
"SNP_A-1715699",1.65
"SNP_A-1755986",2.08
"SNP_A-1657973",2.66
"SNP_A-1747685",2.41
"SNP_A-1702565",2.64
"SNP_A-1725098",1.89
"SNP_A-1693589",1.35
"SNP_A-1743993",3.69
"SNP_A-1718463",2.06
"SNP_A-1753655",2.18
"SNP_A-1706834",2.16
"SNP_A-1672824",1.75
"SNP_A-1710601",2.64
"SNP_A-1711980",3.25
"SNP_A-1723259",1.44
"SNP_A-1653811",1.92
"SNP_A-1680754",2.13
"SNP_A-1744213",1.36
"SNP_A-1722596",2.41
"SNP_A-1691844",2.45
"SNP_A-1758045",1.99
"SNP_A-1742055",2.3
"SNP_A-1683136",2.22
"SNP_A-1755085",1.76
"SNP_A-1726134",2.06
"SNP_A-1649557",1.78
"SNP_A-1724486",2.04
"SNP_A-1655729",1.93
"SNP_A-1700002",1.58
"SNP_A-1700353",1.57
"SNP_A-1701796",1.65
"SNP_A-1707138",1.87
"SNP_A-1699487",2.29
"SNP_A-1692103",1.66
"SNP_A-1665486",1.57
"SNP_A-1690459",1.84
"SNP_A-1692098",1.61
"SNP_A-1671208",1.61
"SNP_A-1721890",2.27
"SNP_A-1742688",1.97
"SNP_A-1703549",2.24
"SNP_A-1655443",1.99
"SNP_A-1735252",2.03
"SNP_A-1752123",1.56
"SNP_A-1689046",2.49
"SNP_A-1718064",1.99
"SNP_A-1697744",1.61
"SNP_A-1752193",1.97
"SNP_A-1706392",2.08
"SNP_A-1758273",2.46
"SNP_A-1738190",1.87
"SNP_A-1708279",1.61
"SNP_A-1711735",2.13
"SNP_A-1696234",1.33
"SNP_A-1735556",1.9
"SNP_A-1696731",1.84
"SNP_A-1684324",2.36
"SNP_A-1719309",1.65
"SNP_A-1651834",1.87
"SNP_A-1702729",2.08
"SNP_A-1757762",1.34
"SNP_A-1641888",2
"SNP_A-1642126",2.32
"SNP_A-1742263",1.27
"SNP_A-1683794",1.95
"SNP_A-1734847",1.98
"SNP_A-1659290",1.83
"SNP_A-1690916",2.52
"SNP_A-1712691",2.45
"SNP_A-1744013",2.91
"SNP_A-1696646",1.55
"SNP_A-1692844",1.46
"SNP_A-1694120",2.51
"SNP_A-1687004",1.47
"SNP_A-1724746",1.97
"SNP_A-1694548",1.65
"SNP_A-1694668",1.67
"SNP_A-1697808",2.03
"SNP_A-1697918",1.55
"SNP_A-1705136",1.93
"SNP_A-1754137",1.79
"SNP_A-1745638",1.55
"SNP_A-1693632",2.25
"SNP_A-1701070",2
"SNP_A-1693769",1.85
"SNP_A-1679946",2.01
"SNP_A-1751594",2.67
"SNP_A-1751794",2.4
"SNP_A-1754887",2.16
"SNP_A-1682721",1.91
"SNP_A-1735229",1.73
"SNP_A-1735479",2.11
"SNP_A-1720401",1.62
"SNP_A-1669732",1.15
"SNP_A-1669838",1.58
"SNP_A-1699453",1.6
"SNP_A-1642968",2.15
"SNP_A-1741393",1.9
"SNP_A-1691438",2.44
"SNP_A-1669575",2.26
"SNP_A-1745689",1.69
"SNP_A-1745895",2.16
"SNP_A-1747376",1.92
"SNP_A-1653604",1.02
"SNP_A-1754998",1.37
"SNP_A-1745272",1.48
"SNP_A-1646440",1.44
"SNP_A-1657251",1.3
"SNP_A-1740382",1.48
"SNP_A-1748950",1.73
"SNP_A-1672962",1.68
"SNP_A-1694657",2.67
"SNP_A-1687377",1.81
"SNP_A-1692553",1.95
"SNP_A-1692701",2.12
"SNP_A-1757999",2.3
"SNP_A-1750407",1.17
"SNP_A-1728313",0.48
"SNP_A-1681124",2.23
"SNP_A-1678101",1.65
"SNP_A-1679775",2.07
"SNP_A-1740913",3.05
"SNP_A-1757507",1.6
"SNP_A-1738709",2.03
"SNP_A-1674757",1.78
"SNP_A-1735889",1.97
"SNP_A-1749078",1.64
"SNP_A-1742295",1.32
"SNP_A-1752976",1.87
"SNP_A-1731927",2.62
"SNP_A-1729559",2.42
"SNP_A-1659084",1.86
"SNP_A-1741686",1.75
"SNP_A-1744916",1.5
"SNP_A-1690765",1.44
"SNP_A-1725239",2.77
"SNP_A-1647892",2.18
"SNP_A-1676376",2.11
"SNP_A-1702809",2.04
"SNP_A-1666379",1.72
"SNP_A-1666461",1.89
"SNP_A-1670360",1.89
"SNP_A-1718583",1.22
"SNP_A-1672946",1.21
"SNP_A-1711402",2.64
"SNP_A-1714874",1.77
"SNP_A-1722231",2.09
"SNP_A-1644400",2.27
"SNP_A-1726574",2.26
"SNP_A-1744333",2.19
"SNP_A-1692270",1.73
"SNP_A-1716769",2.65
"SNP_A-1720179",1.46
"SNP_A-1663042",2.07
"SNP_A-1671985",1.86
"SNP_A-1672103",1.63
"SNP_A-1714266",1.84
"SNP_A-1740585",1.82
"SNP_A-1670029",2.58
"SNP_A-1730093",1.84
"SNP_A-1736862",1.87
"SNP_A-1664054",1.22
"SNP_A-1699173",3.94
"SNP_A-1671313",1.39
"SNP_A-1658373",2.03
"SNP_A-1706053",2.08
"SNP_A-1670587",2.12
"SNP_A-1653923",1.74
"SNP_A-1658987",1.73
"SNP_A-1657968",1.39
"SNP_A-1642350",1.51
"SNP_A-1722792",1.53
"SNP_A-1757830",1.53
"SNP_A-1694620",1.8
"SNP_A-1694736",1.88
